역명,1회용발매충전기,보증금환급기,무인정산기,카드판매기,E/V(대),E/S(대),W/L(대),게이트,스피드게이트
전체계,608,434,339,199,117역(338),97역(517),26역(49),"3,155",344
1호선,75,51,37,18,37,31,9,368,38
서울역,16,8,5,2,4,3,1,62,4
시청,8,4,4,2,3,3,,64,4
종각,7,5,5,2,4,2,,48,5
종로3가,9,6,4,2,3,4,1,34,4
종로5가,6,4,3,2,3,,,31,3
동대문,4,5,5,2,3,1,,32,5
신설동,8,6,4,1,5,,6,29,4
제기동,5,5,2,2,3,2,,20,2
청량리,8,5,3,1,2,4,1,36,3
동묘앞,4,3,2,2,7,12,,12,4
2호선소계,267,190,152,94,148,203,16,"1,486",160
시청,5,5,4,2,2,6,,34,3
을지로입구,7,6,6,2,4,2,,58,6
을지로3가,4,4,4,2,2,,,35,4
을지로4가,4,4,4,1,3,4,,28,4
동대문역사문화공원,5,3,2,3,3,2,,18,2
신당,4,4,4,2,3,2,1,22,4
상왕십리,4,4,3,1,3,,,24,3
왕십리,6,5,4,1,2,8,1,24,4
한양대,4,4,4,1,3,2,,30,4
뚝섬,4,4,4,2,3,6,,27,5
성수,5,4,2,2,4,8,2,29,4
건대입구,6,5,2,2,3,2,1,24,3
구의,5,5,4,2,2,6,,42,6
강변,13,8,2,3,2,,,26,2
잠실나루,8,4,3,2,2,4,,29,3
잠실,13,8,4,3,4,6,1,49,4
신천,6,4,4,2,4,11,,30,4
종합운동장,15,9,5,2,3,3,,46,5
삼성,8,5,3,3,5,2,1,42,2
선릉,6,4,4,3,3,2,,40,4
역삼,6,4,4,2,4,12,,49,4
강남,10,6,3,3,4,,,49,3
교대,5,4,4,2,3,2,,38,4
서초,5,2,3,1,4,8,,28,3
방배,4,2,3,1,3,2,,23,3
사당,5,4,4,2,3,12,,36,4
낙성대,4,3,4,2,3,4,,34,4
서울대입구,5,3,3,2,3,8,,28,2
봉천,4,2,2,2,2,6,,22,3
신림,6,4,3,3,3,3,,46,2
신대방,4,2,2,2,3,8,,25,2
구로디지털,4,4,2,3,3,4,,39,2
대림,4,2,2,2,4,6,,20,2
신도림,5,4,3,2,4,9,,35,3
문래,4,3,4,1,3,4,,48,4
영등포구청,5,4,3,2,3,2,,24,3
당산,5,4,2,2,3,1,,24,2
합정,4,2,4,2,4,4,,44,6
홍대입구,8,6,3,2,2,8,,38,3
신촌,6,4,4,3,3,2,,43,4
이대,4,2,2,2,2,4,,20,2
아현,4,4,3,1,3,,,21,4
충정로,4,2,2,1,2,4,,20,2
용답,3,2,2,1,1,,1,7,2
용두,3,2,2,2,4,12,,10,4
신답,2,2,1,1,2,,1,6,1
신설동,4,2,2,1,2,,6,10,2
도림천,2,2,1,1,2,,,5,1
양천구청,2,2,1,1,3,,,11,1
신정네거리,4,2,2,1,3,2,1,26,2
3호선소계,139,99,76,43,81,180,9,626,73
지축,4,2,2,1,1,,,11,2
구파발,6,5,3,2,2,2,,21,3
연신내,7,4,4,2,1,4,,29,4
불광,4,4,4,2,3,2,,24,4
녹번,4,3,2,2,2,,,21,2
홍제,4,3,2,2,3,,,19,2
무악재,4,2,2,1,3,,,11,2
독립문,4,2,2,1,2,4,,12,2
경복궁,4,3,3,2,2,10,,26,3
안국,5,4,2,2,2,10,,21,2
종로3가,4,2,2,1,? ,8,5,16,2
을지로3가,4,2,2,1,2,2,,19,3
충무로,4호선에포함정리,,,,,,,,
동대입구,4,3,2,2,2,4,,16,2
약수,4,4,3,1,2,2,,19,2
금호,4,2,2,1,2,4,,14,2
옥수,5,5,4,1,3,2,2,19,4
압구정,5,4,4,1,4,3,,48,4
신사,5,4,3,2,4,6,,30,3
잠원,3,2,2,1,3,,,10,2
고속터미널,13,8,2,2,2,24,1,32,2
교대,4,2,2,1,1,2,1,13,2
남부터미널,8,5,4,2,3,2,,34,3
양재,5,3,4,2,4,2,,29,2
매봉,2,2,1,1,3,4,,15,1
도곡,2,2,1,1,? ,8,,13,1
대치,4,3,2,2,2,6,,16,2
학여울,2,2,1,1,3,2,,13,1
대청,2,2,2,1,3,4,,17,2
일원,3,2,2,1,3,,,17,2
수서,2,2,1,1,4,6,,15,1
가락시장,4,2,2,? ,3,22,,10,2
경찰병원,2,2,1,? ,4,20,,9,1
오금,2,2,1,? ,3,15,,7,1
4호선소계,127,94,74,44,72,103,15,675,73
당고개,3,3,2,1,3,,,19,2
상계,4,2,2,2,3,,,20,2
노원,4,2,2,2,4,2,,23,2
창동,5,4,2,2,2,2,6,23,2
쌍문,5,4,4,2,3,2,,37,4
수유,6,4,4,2,3,4,,40,4
미아,4,2,4,2,3,4,,28,4
미아사거리,4,4,4,2,2,2,,37,4
길음,4,3,3,2,3,3,,38,3
성신여대,4,2,3,2,4,3,,40,3
한성대,4,3,3,2,3,2,,18,3
혜화,10,6,4,2,4,4,,40,4
동대문,5,3,2,1,3,10,,17,2
동대문역사문화공원,6,4,3,2,1,6,,22,4
충무로,5,4,2,2,3,22,1,34,2
명동,9,6,2,2,1,6,2,35,3
회현,6,5,3,2,1,6,1,27,2
서울역,5,4,2,1,2,4,2,17,2
숙대입구,4,4,4,2,3,,,28,4
삼각지,4,4,4,1,4,4,,25,2
신용산,4,4,4,2,2,2,1,23,4
이촌,7,4,2,1,4,4,1,19,2
동작,2,2,2,1,2,,,10,2
총신대입구,4,4,3,1,4,2,,23,3
사당,7,5,3,2,2,7,1,25,3
남태령,2,2,1,1,3,2,,7,1
